tract_geoid,HTN_crude_prev,DM_crude_prev
04013061035,29.4,9.7
04013108802,24.3,7.3
04013112507,25.6,11
04013111700,25.9,8.5
04013061053,27.6,9.7
04013105800,29.4,11.3
04013112201,31.1,15.7
04013111300,26.1,8.6
04013092600,31.1,13.4
04013104225,31.1,10
04013111201,29.8,10.7
04013050613,26.7,9.2
04013092708,27.9,9.5
04013040536,25.6,7.4
04013110002,29.8,14
04013111601,32.7,14.5
04013093002,29.7,12.3
04013104217,32.7,10.9
04013061041,27,10
04013110801,25.9,8.8
04013050611,26.8,9.5
04013106200,32.3,9.3
04013108000,27.5,7.3
04013050612,25.5,8.9
04013108601,31.2,12.6
04012020101,41.1,15.1
04013104204,32.7,11.9
04013082023,28.3,10.5
04013104227,33.9,12.9
04012940300,38.4,17.6
04013092721,26.8,9.4
04013061045,32.6,10.7
04013061050,28.5,10.1
04013061054,36.6,11.9
04012020504,56.3,22.4
04013111202,21.5,7.6
04009961600,27.3,8.2
04013082019,31,11
04013082012,26,10.1
04013111203,23.4,7.3
04013061051,25.7,8.4
04013106703,30.6,9.7
04013082018,25,10.4
04013093101,33.3,15.5
04013106100,34.7,10.7
04013040540,29.8,10.2
04013104402,30.8,10.7
04013040527,43.8,14.1
04013092802,33,15.8
04013082020,29.7,10.5
04013110501,29.6,10.2
04013050701,28.2,10.5
04013103614,34.7,11.5
04013104701,34.5,12.5
04013109604,29.6,14.1
04013061042,40.7,15
04013082007,28.6,12.3
04013104401,34.6,13.5
04013092718,30.1,12.9
04013112520,29,13.7
04013103502,32.2,10.4
04013061058,26.9,9.3
04013040524,55.8,18.8
04013092307,35.3,14.2
04013050619,32.4,10.5
04013104212,29.2,10
04013104900,28.9,8.4
04013112522,27.7,12.7
04013061021,25.5,8.7
04013103611,32.3,9.8
04013105101,32.3,9.1
04013111000,27.5,8.2
04013104222,31.1,10.7
04013107602,26.5,7.9
04013092801,31.5,14.4
04013092717,30.9,13.4
04013082008,26.6,11.3
04013061028,31.7,10.3
04013061034,26,8.1
04013071909,36.2,13.5
04013040515,44,15.3
04013092720,26.4,9.4
04013106502,28.6,8.8
04013082206,24.2,9.6
04013110502,25.3,8.1
04013061033,28.5,9.3
04013061200,32.2,14.8
04013093200,29.5,11.2
04013061038,29.2,9.8
04013108302,28.8,8.6
04013111900,28.8,8.5
04013040528,54.2,16.7
04013103208,34.9,10.1
04013105701,32.1,12.2
04013082210,25.7,10.1
04013061015,29.7,10.5
04013103615,35.3,15.4
04013110902,26.8,9.1
04013082016,29.2,11.5
04013050615,26.5,9.2
04013071503,54.3,17.2
04013061037,26.4,8.1
04013061011,26.4,9.1
04013116611,31.4,11.8
04013319903,30.9,9.8
04013216806,34.9,10.3
04013422633,29.1,10
04013422504,27.2,8.7
04013116616,28.2,11
04013216852,28.5,8.4
04013217400,33.6,9.9
04013422640,35.6,10.9
04013615100,25.3,7.1
04013422404,27.3,8.3
04013610600,27.8,8.3
04013422627,39.1,15.3
04013422501,27.8,9.3
04013420107,33.9,10.3
04013218300,35,11.9
04013421902,31.2,14.8
04013611200,27.2,8
04013319401,24.6,7.7
04013610901,34,11.7
04013114600,35.1,19
04013420207,36.6,10.9
