GEOID,chapter
040019449014133,Klagetoh Chapter
040019427004008,Red Valley Chapter
040019441005077,Lukachukai Chapter
040019449021204,Steamboat Chapter
040019443011014,Many Farms Chapter
040059450002049,Tuba City Chapter
040059422012303,Tonalea Chapter
040019427003018,Sweetwater Chapter
040019443022151,Tselani Chapter
040019440001187,Sawmill Chapter
040179400152229,Dilcon Chapter
040179400142007,White Cone Chapter
040019426001188,Chilchinbeto Chapter
040019427002190,Rock Point Chapter
040059451001079,Leupp Chapter
040059450001314,Cameron Chapter
040059422012287,Coppermine Chapter
040019427002010,Red Mesa Chapter
040019440003029,Fort Defiance Chapter
040019443012123,Tachee Chapter
040059449001033,Tuba City Chapter
040179400103034,Piñon Chapter
040059451002159,Leupp Chapter
040019451001025,Nahatadziil Chapter
040019449014006,Kinlichee Chapter
040059422021121,LeChee Chapter
040019426001003,Dennehotso Chapter
040059422013007,Tonalea Chapter
040059422022032,Kaibeto Chapter
040059422011004,LeChee Chapter
040059422022112,Kaibeto Chapter
040019449023021,Klagetoh Chapter
040019443021106,Nazlini Chapter
040019441004115,Tsaile-Wheatfields Chapter
040019449013014,Ganado Chapter
040019449021024,Steamboat Chapter
040019449021032,Low Mountain Chapter
040019449014090,Kinlichee Chapter
040019443021021,Chinle Chapter
040019443022047,Tselani Chapter
040019443022183,Tselani Chapter
040179400143118,Indian Wells Chapter
040179424001082,Shonto Chapter
040179400142039,White Cone Chapter
040179400112075,Piñon Chapter
040179400111023,Tachee Chapter
040059451004093,Coalmine Mesa Chapter
040179400141052,Greasewood Chapter
040179400152185,Dilcon Chapter
040179400103006,Piñon Chapter
040179400111015,Tachee Chapter
040179400152015,Teesto Chapter
040179400112072,Piñon Chapter
040179400082064,Hard Rock Chapter
040179400081076,Forest Lake Chapter
040179400153044,Dilcon Chapter
040059422021015,Navajo Mountain Chapter
040179400081002,Black Mesa Chapter
040179400112025,Black Mesa Chapter
040059450001221,Bodaway Chapter
040019427003014,Sweetwater Chapter
040019427002240,Rough Rock Chapter
040059422021066,Inscription House Chapter
040059451003045,Tolani Lake Chapter
040179425002016,Kayenta Chapter
040179400142094,White Cone Chapter
040019449014210,Wide Ruins Chapter
040019449023116,Wide Ruins Chapter
040059422012137,Coppermine Chapter
040059422012104,Coppermine Chapter
040059451004266,Coalmine Mesa Chapter
040019427004131,Red Valley Chapter
040019427004091,Cove Chapter
040179400152053,Teesto Chapter
040179424001122,Kayenta Chapter
040019426001023,Dennehotso Chapter
040179400101023,Whippoorwill Chapter
040179424002045,Dennehotso Chapter
040019449011019,Wide Ruins Chapter
040019441002016,Red Valley Chapter
040019441005107,Cove Chapter
040019427004156,Sanostee Chapter
040019449013019,Ganado Chapter
040019441004120,Tsaile-Wheatfields Chapter
040059449002019,Tuba City Chapter
040019442012091,Chinle Chapter
040019427003025,Sweetwater Chapter
040059422023069,Tonalea Chapter
040019426001004,Dennehotso Chapter
040019442023000,Chinle Chapter
040019450021106,Lupton Chapter
040019451002039,Nahatadziil Chapter
040019441002020,Round Rock Chapter
040059451001020,Leupp Chapter
040019443022178,Tachee Chapter
040019449014014,Kinlichee Chapter
040019441001003,Lukachukai Chapter
040019443012064,Rough Rock Chapter
040019449012043,Kinlichee Chapter
040019449014208,Klagetoh Chapter
040019449023117,Wide Ruins Chapter
040019449014188,Wide Ruins Chapter
040019449022053,Cornfields Chapter
040019449013054,Ganado Chapter
040019441004110,Tsaile-Wheatfields Chapter
040019443013070,Many Farms Chapter
040019441004005,Tsaile-Wheatfields Chapter
040019441004007,Tsaile-Wheatfields Chapter
040019426001086,Dennehotso Chapter
040019449021171,Steamboat Chapter
040019441005013,Lukachukai Chapter
040019450023087,Houck Chapter
040019442023041,Chinle Chapter
040019442011016,Chinle Chapter
040019427002046,Mexican Water Chapter
040059422012292,Coppermine Chapter
040179423003116,Inscription House Chapter
040179424001101,Kayenta Chapter
040179400102024,Low Mountain Chapter
040179400143067,Greasewood Chapter
040059450003084,Bodaway Chapter
040059451002175,Leupp Chapter
040179424002011,Dennehotso Chapter
040179400113029,Piñon Chapter
040019427003078,Sweetwater Chapter
040179400151049,Indian Wells Chapter
040059422012186,Coppermine Chapter
040059422012073,Coppermine Chapter
040059451001077,Leupp Chapter
040059422011061,LeChee Chapter
040059422012025,LeChee Chapter
040059422011021,LeChee Chapter
040059422013077,Tonalea Chapter
040059451003010,Tolani Lake Chapter
040059451001007,Coalmine Mesa Chapter
040019451001107,Nahatadziil Chapter
040019427003007,Sweetwater Chapter
040019427003051,Sweetwater Chapter
040059450001024,Bodaway Chapter
040059422013067,Tonalea Chapter
040059450003101,Bodaway Chapter
040059450001101,Bodaway Chapter
040179400111000,Black Mesa Chapter
040019443022168,Steamboat Chapter
040019449014119,Klagetoh Chapter
040179400152020,Teesto Chapter
040019443022086,Tselani Chapter
040019449023078,Klagetoh Chapter
040059451004387,Cameron Chapter
040179400142066,White Cone Chapter
040179400142021,White Cone Chapter
040019440001220,Sawmill Chapter
040019443022118,Tselani Chapter
040019449014061,Kinlichee Chapter
040019443021024,Chinle Chapter
040019441002123,Round Rock Chapter
040179424001014,Oljato Chapter
040019443021122,Nazlini Chapter
040059451001061,Leupp Chapter
040059422023089,Inscription House Chapter
040179424001206,Kayenta Chapter
040019450021116,Lupton Chapter
040019441005029,Lukachukai Chapter
040019427004013,Red Valley Chapter
040019441001019,Lukachukai Chapter
040179605001007,Dilcon Chapter
040019450013009,Fort Defiance Chapter
040019449024051,Ganado Chapter
040019449021163,Steamboat Chapter
040059452003001,Tuba City Chapter
040019443022076,Tselani Chapter
040019449012116,Kinlichee Chapter
040019443022184,Tselani Chapter
040179400113006,Piñon Chapter
040179400152206,Dilcon Chapter
040179400151011,White Cone Chapter
040179400113090,Piñon Chapter
040059451004283,Cameron Chapter
040059422023128,Inscription House Chapter
040059422011101,LeChee Chapter
040019441002108,Round Rock Chapter
040019443012114,Tachee Chapter
040179400152282,Bird Springs Chapter
040179400152279,Bird Springs Chapter
040179400141074,Greasewood Chapter
040179424001158,Kayenta Chapter
